,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
135,CRS,"Corsicana, TX",TX,1,1,2,29,29,58,32.0954304,-96.46887269999999
136,CRW,"Charleston, WV",WV,151632,155641,307273,3851925,3853026,7704951,38.3498195,-81.6326234
137,CSG,"Columbus, GA",GA,45017,44617,89634,1224786,1250248,2475034,32.4609764,-84.9877094
138,CSV,"Crossville, TN",TN,15,7,14,3,0,0,35.9489566,-85.0269014
139,CUB,"Columbia, SC",SC,1,1,2,3,3,6,34.0007104,-81.0348144
140,CVG,"Cincinnati, OH",OH,2297909,2285379,4583288,136095289,137124885,273220174,39.1031182,-84.5120196
141,CVN,"Clovis, NM",NM,7712,7785,15497,24367,29982,54349,34.4047987,-103.2052272
142,CVO,"Albany, OR",OR,4002,61,1051,8,8,16,44.6365107,-123.1059282
143,CVS,"Clovis, NM",NM,58,51,103,2472,2186,4282,34.4047987,-103.2052272
144,CWA,"Wausau, WI",WI,96866,97170,194036,2241981,2205578,4447559,44.9591352,-89.6301221
145,CWI,"Clinton, IA",IA,2,2,4,1,1,2,41.8444735,-90.1887379
146,CYS,"Cheyenne, WY",WY,1197,1383,2557,20413,47938,67671,41.1399814,-104.8202462
147,DAL,"Dallas, TX",TX,941177,939735,1880912,73632612,73576900,147209512,32.7766642,-96.79698789999999
148,DAY,"Dayton, OH",OH,491128,489266,980394,23426340,23379059,46805399,39.7589478,-84.1916069
149,DBQ,"Dubuque, IA",IA,35671,35659,71330,762614,741065,1503679,42.5005583,-90.66457179999999
150,DCA,"Washington, DC",DC,2059372,2060235,4119607,145054182,145358875,290413057,38.9071923,-77.0368707
151,DCU,"Decatur, AL",AL,33,25,47,0,0,0,34.6059253,-86.9833417
152,DDC,"Dodge City, KS",KS,9764,10022,19785,47002,47854,94846,37.7527982,-100.0170787
153,DEC,"Decatur, IL",IL,32863,32951,65814,317319,310920,628239,39.8403147,-88.9548001
154,DET,"Detroit, MI",MI,29566,29537,59080,1755122,1737255,3492376,42.331427,-83.0457538
155,DFW,"Dallas, TX",TX,5994470,5987718,11982188,457146553,458315360,915461913,32.7766642,-96.79698789999999
156,DHN,"Dothan, AL",AL,39295,38606,77901,891830,902527,1794357,31.2232313,-85.3904888
157,DIK,"Dickinson, ND",ND,6686,6994,13680,41746,41803,83549,46.8791756,-102.7896242
158,DLF,"Del Rio, TX",TX,31,32,63,312,1139,1451,29.3708857,-100.8958674
159,DLH,"Duluth, MN",MN,58020,58850,116870,2533570,2458332,4991902,46.78667189999999,-92.1004852
160,DMA,"Tucson, AZ",AZ,23,14,31,1012,453,1287,32.2226066,-110.9747108
161,DMO,"Sedalia, MO",MO,4,0,0,0,0,0,38.7044609,-93.2282613
162,DNE,"Dallas, TX",TX,2,0,0,145,0,0,32.7766642,-96.79698789999999
163,DNN,"Dalton, GA",GA,3,2,4,3,3,6,34.7698021,-84.9702228
164,DNV,"Danville, IL",IL,1,0,0,0,0,0,40.124481,-87.6300207
165,DOV,"Dover, DE",DE,393,1062,1446,5091,4716,9776,39.158168,-75.5243682
166,DPA,"Chicago, IL",IL,227,207,414,10,11,21,41.8781136,-87.6297982
167,DQC,"Sebastian, FL",FL,1,0,0,0,0,0,27.816415,-80.4706078
168,DQF,"Phoenix, AZ",AZ,438,433,865,35987,37434,73274,33.4483771,-112.0740373
169,DQU,"Ketchikan, AK",AK,3015,3032,6031,17713,18086,35785,55.34222219999999,-131.6461112
170,DRO,"Durango, CO",CO,22846,24720,47556,446611,443700,890077,37.27528,-107.8800667
171,DRT,"Del Rio, TX",TX,6041,5896,11927,75152,74444,149596,29.3708857,-100.8958674
172,DSM,"Des Moines, IA",IA,301211,308208,609419,13324194,13484639,26808833,41.5868353,-93.6249593
173,DTW,"Detroit, MI",MI,3452572,3448001,6900573,250980850,251465701,502446551,42.331427,-83.0457538
174,DUC,"Duncan, OK",OK,1,0,0,0,0,0,34.5023028,-97.9578128
175,DVN,"Davenport, IA",IA,3,0,0,0,0,0,41.5236437,-90.5776367
176,DVT,"Phoenix, AZ",AZ,9,8,15,13,31,44,33.4483771,-112.0740373
177,DYS,"Abilene, TX",TX,17,13,26,728,674,955,32.4487364,-99.73314390000002
178,EAR,"Kearney, NE",NE,1586,1503,3081,2548,3014,5504,40.69933030000001,-99.0816784
179,EAT,"Wenatchee, WA",WA,58697,58210,116907,922442,910037,1832479,47.4234599,-120.3103494
180,EAU,"Eau Claire, WI",WI,20574,20501,41074,340860,345486,686236,44.811349,-91.4984941
181,ECG,"Elizabeth City, NC",NC,1,1,2,75,75,150,36.2946008,-76.2510461
182,EDF,"Anchorage, AK",AK,94,60,127,2049,1805,3606,61.2180556,-149.9002778
183,EFD,"Houston, TX",TX,23661,23551,47187,489905,427402,917105,29.7604267,-95.3698028
184,EGP,"Eagle Pass, TX",TX,8,5,10,0,0,0,28.7091433,-100.4995214
185,EIL,"Fairbanks, AK",AK,134,122,248,1438,1754,3137,64.8377778,-147.7163888
186,EKA,"Eureka, CA",CA,4270,3724,7994,0,0,0,40.8020712,-124.1636729
187,EKI,"Elkhart, IN",IN,10,4,8,3,3,6,41.6819935,-85.9766671
188,EKO,"Elko, NV",NV,25880,25727,51607,1283777,1270850,2554627,40.8324211,-115.7631232
189,EKX,"Elizabethtown, KY",KY,4,2,4,1,0,0,37.7030646,-85.8649408
190,ELD,"El Dorado, AR",AR,7651,7673,15324,31423,40576,71999,33.20763,-92.6662674
191,ELM,"Elmira, NY",NY,60386,60543,120929,1761277,1745717,3506994,42.0897965,-76.8077338
192,ELN,"Ellensburg, WA",WA,1,1,2,2,0,2,46.9965144,-120.5478474
193,ELP,"El Paso, TX",TX,502977,503487,1006464,38234985,37566886,75801871,31.7618778,-106.4850217
194,END,"Enid, OK",OK,7,7,14,687,676,1363,36.3955891,-97.8783911
